condition	symptom_id	onset	duration	duration_text	severity	progression	polarity
actinomycosis	515	unspecified	unspecified		unspecified	unspecified	present
actinomycosis	518	unspecified	unspecified		unspecified	unspecified	present
actinomycosis	655	unspecified	unspecified		unspecified	unspecified	present
actinomycosis	732	unspecified	unspecified		unspecified	unspecified	present
actinomycosis	1038	unspecified	unspecified		unspecified	unspecified	present
acute-cholecystitis	29	unspecified	unspecified		unspecified	unspecified	present
acute-cholecystitis	114	unspecified	unspecified		unspecified	unspecified	present
acute-cholecystitis	323	unspecified	unspecified		unspecified	unspecified	present
acute-cholecystitis	350	unspecified	unspecified		unspecified	unspecified	present
acute-cholecystitis	417	unspecified	unspecified		unspecified	unspecified	present
acute-cholecystitis	463	unspecified	unspecified		unspecified	unspecified	present
acute-cholecystitis	585	unspecified	unspecified		unspecified	unspecified	present
acute-cholecystitis	646	unspecified	unspecified		unspecified	worsening	present
acute-cholecystitis	813	unspecified	unspecified		unspecified	unspecified	present
acute-cholecystitis	979	unspecified	unspecified		unspecified	unspecified	present
acute-cholecystitis	1053	unspecified	unspecified		unspecified	unspecified	present
acute-kidney-injury	100	unspecified	unspecified		unspecified	unspecified	present
acute-kidney-injury	165	unspecified	unspecified		unspecified	unspecified	present
acute-kidney-injury	323	unspecified	unspecified		unspecified	unspecified	present
acute-kidney-injury	431	unspecified	unspecified		unspecified	unspecified	present
acute-kidney-injury	492	unspecified	unspecified		unspecified	unspecified	present
acute-kidney-injury	585	unspecified	unspecified		unspecified	unspecified	present
acute-kidney-injury	638	unspecified	unspecified		unspecified	unspecified	present
acute-kidney-injury	939	unspecified	unspecified		unspecified	unspecified	present
acute-kidney-injury	1053	unspecified	unspecified		unspecified	unspecified	present
acute-myeloid-leukaemia	323	unspecified	unspecified		unspecified	unspecified	present
acute-myeloid-leukaemia	365	unspecified	unspecified		unspecified	unspecified	present
acute-myeloid-leukaemia	671	unspecified	unspecified		unspecified	unspecified	present
acute-myeloid-leukaemia	1020	unspecified	unspecified		unspecified	unspecified	present
acute-myeloid-leukaemia	1025	unspecified	unspecified		unspecified	unspecified	present
acute-myeloid-leukaemia	1026	unspecified	unspecified		unspecified	unspecified	present
acute-pancreatitis	415	unspecified	unspecified		unspecified	unspecified	present
acute-pancreatitis	614	unspecified	unspecified		unspecified	unspecified	present
acute-pancreatitis	617	unspecified	unspecified		unspecified	worsening	present
acute-pancreatitis	655	unspecified	unspecified		unspecified	unspecified	present
acute-pancreatitis	812	unspecified	unspecified		severe	unspecified	present
acute-pancreatitis	1053	unspecified	unspecified		unspecified	unspecified	present
acute-respiratory-distress-syndrome	321	unspecified	unspecified		unspecified	unspecified	present
addisons-disease	25	unspecified	unspecified		unspecified	unspecified	present
addisons-disease	29	unspecified	unspecified		unspecified	unspecified	present
addisons-disease	164	unspecified	unspecified		unspecified	unspecified	present
addisons-disease	323	unspecified	unspecified		unspecified	unspecified	present
addisons-disease	334	unspecified	unspecified		mild	unspecified	present
addisons-disease	422	unspecified	unspecified		unspecified	unspecified	present
addisons-disease	431	unspecified	unspecified		unspecified	unspecified	present
addisons-disease	432	unspecified	unspecified		unspecified	unspecified	present
addisons-disease	494	unspecified	unspecified		unspecified	unspecified	present
addisons-disease	636	unspecified	unspecified		unspecified	unspecified	present
addisons-disease	643	unspecified	unspecified		unspecified	unspecified	present
addisons-disease	655	unspecified	unspecified		unspecified	unspecified	present
addisons-disease	918	unspecified	unspecified		unspecified	unspecified	present
addisons-disease	1071	unspecified	unspecified		unspecified	unspecified	present
age-related-macular-degeneration-amd	258	unspecified	unspecified		unspecified	unspecified	present
age-related-macular-degeneration-amd	343	unspecified	unspecified		unspecified	unspecified	present
age-related-macular-degeneration-amd	393	unspecified	unspecified		unspecified	unspecified	present
age-related-macular-degeneration-amd	802	unspecified	unspecified		unspecified	unspecified	present
age-related-macular-degeneration-amd	803	unspecified	unspecified		unspecified	unspecified	present
albinism	84	unspecified	unspecified		unspecified	unspecified	present
albinism	382	unspecified	unspecified		unspecified	unspecified	present
albinism	512	unspecified	unspecified		unspecified	unspecified	present
albinism	535	unspecified	unspecified		unspecified	unspecified	present
albinism	606	unspecified	unspecified		unspecified	unspecified	present
albinism	802	unspecified	unspecified		unspecified	unspecified	present
albinism	834	unspecified	unspecified		unspecified	worsening	present
albinism	895	unspecified	unspecified		unspecified	unspecified	present
alcohol-poisoning	192	unspecified	unspecified		unspecified	unspecified	present
alcohol-poisoning	797	unspecified	unspecified		unspecified	unspecified	present
alcohol-poisoning	849	unspecified	unspecified		unspecified	unspecified	present
alcohol-poisoning	855	unspecified	unspecified		unspecified	unspecified	present
alcohol-poisoning	1034	unspecified	unspecified		unspecified	unspecified	present
alcohol-poisoning	1053	unspecified	unspecified		unspecified	unspecified	present
alcohol-use-disorder	165	unspecified	unspecified		unspecified	unspecified	present
alcohol-use-disorder	393	unspecified	unspecified		unspecified	unspecified	present
alcohol-use-disorder	438	unspecified	unspecified		unspecified	unspecified	present
alcohol-use-disorder	441	unspecified	unspecified		unspecified	unspecified	present
alcohol-use-disorder	585	unspecified	unspecified		unspecified	unspecified	present
alcohol-use-disorder	780	unspecified	unspecified		unspecified	unspecified	present
alcohol-use-disorder	797	unspecified	unspecified		unspecified	unspecified	present
alcohol-use-disorder	808	unspecified	unspecified		unspecified	unspecified	present
alcohol-use-disorder	1053	unspecified	unspecified		unspecified	unspecified	present
allergic-rhinitis	171	unspecified	unspecified		unspecified	unspecified	present
allergic-rhinitis	449	unspecified	unspecified		unspecified	unspecified	present
allergic-rhinitis	451	unspecified	unspecified		unspecified	unspecified	present
allergic-rhinitis	452	unspecified	unspecified		unspecified	unspecified	present
allergic-rhinitis	584	unspecified	unspecified		unspecified	unspecified	present
allergic-rhinitis	761	unspecified	unspecified		unspecified	unspecified	present
allergic-rhinitis	862	unspecified	unspecified		unspecified	unspecified	present
allergic-rhinitis	1064	unspecified	unspecified		unspecified	unspecified	present
allergies	71	unspecified	unspecified		unspecified	unspecified	present
allergies	314	unspecified	unspecified		unspecified	unspecified	present
allergies	315	unspecified	unspecified		unspecified	unspecified	present
allergies	418	unspecified	unspecified		unspecified	unspecified	present
allergies	584	unspecified	unspecified		unspecified	unspecified	present
allergies	585	unspecified	unspecified		unspecified	unspecified	present
allergies	761	unspecified	unspecified		unspecified	unspecified	present
allergies	862	unspecified	unspecified		unspecified	unspecified	present
allergies	974	unspecified	unspecified		unspecified	unspecified	present
allergies	1053	unspecified	unspecified		unspecified	unspecified	present
allergies	1064	unspecified	unspecified		unspecified	unspecified	present
altitude-sickness	29	unspecified	unspecified		unspecified	unspecified	present
altitude-sickness	323	unspecified	unspecified		unspecified	unspecified	present
altitude-sickness	399	unspecified	unspecified		unspecified	unspecified	present
altitude-sickness	438	unspecified	unspecified		unspecified	unspecified	present
altitude-sickness	585	unspecified	unspecified		unspecified	unspecified	present
altitude-sickness	1053	unspecified	unspecified		unspecified	unspecified	present
alzheimers-disease	165	unspecified	unspecified		unspecified	unspecified	present
alzheimers-disease	239	unspecified	unspecified		unspecified	unspecified	present
alzheimers-disease	393	unspecified	unspecified		unspecified	unspecified	present
alzheimers-disease	527	unspecified	unspecified		unspecified	unspecified	present
alzheimers-disease	528	unspecified	unspecified		unspecified	unspecified	present
amyloidosis	110	unspecified	unspecified		unspecified	unspecified	present
amyloidosis	134	unspecified	unspecified		unspecified	unspecified	present
amyloidosis	323	unspecified	unspecified		unspecified	unspecified	present
amyloidosis	368	unspecified	unspecified		unspecified	unspecified	present
amyloidosis	588	unspecified	unspecified		unspecified	unspecified	present
amyloidosis	638	unspecified	unspecified		unspecified	unspecified	present
amyloidosis	939	unspecified	unspecified		unspecified	unspecified	present
amyloidosis	1020	unspecified	unspecified		unspecified	unspecified	present
anal-fissure	58	unspecified	unspecified		unspecified	unspecified	present
anal-fissure	78	unspecified	unspecified		unspecified	unspecified	present
anal-fissure	619	unspecified	unspecified		unspecified	unspecified	present
anal-fistula	78	unspecified	unspecified		unspecified	unspecified	present
anal-fistula	246	unspecified	unspecified		unspecified	unspecified	present
anal-fistula	427	unspecified	unspecified		unspecified	unspecified	present
anal-fistula	522	unspecified	unspecified		unspecified	unspecified	present
anal-fistula	830	unspecified	unspecified		unspecified	unspecified	present
anal-fistula	833	unspecified	unspecified		unspecified	unspecified	present
anal-fistula	927	unspecified	unspecified		unspecified	unspecified	present
anal-fistula	990	unspecified	unspecified		unspecified	unspecified	present
anaphylaxis	165	unspecified	unspecified		unspecified	unspecified	present
anaphylaxis	192	unspecified	unspecified		unspecified	unspecified	present
anaphylaxis	241	unspecified	unspecified		unspecified	unspecified	present
anaphylaxis	260	unspecified	unspecified		unspecified	unspecified	present
anaphylaxis	323	unspecified	unspecified		unspecified	unspecified	present
anaphylaxis	827	unspecified	unspecified		unspecified	unspecified	present
anaphylaxis	838	unspecified	unspecified		unspecified	unspecified	present
anaphylaxis	946	unspecified	unspecified		unspecified	unspecified	present
anaphylaxis	947	unspecified	unspecified		unspecified	unspecified	present
androgen-insensitivity-syndrome	292	unspecified	unspecified		unspecified	unspecified	present
androgen-insensitivity-syndrome	389	unspecified	unspecified		unspecified	unspecified	absent
androgen-insensitivity-syndrome	390	unspecified	unspecified		unspecified	unspecified	absent
androgen-insensitivity-syndrome	693	unspecified	unspecified		unspecified	unspecified	absent
androgen-insensitivity-syndrome	1018	unspecified	unspecified		unspecified	unspecified	present
angina	526	unspecified	unspecified		unspecified	unspecified	present
angina	993	unspecified	unspecified		unspecified	unspecified	present
angioedema	219	unspecified	unspecified		unspecified	unspecified	present
angioedema	315	unspecified	unspecified		unspecified	unspecified	present
angioedema	418	unspecified	unspecified		unspecified	unspecified	present
angioedema	648	unspecified	unspecified		unspecified	unspecified	present
ankylosing-spondylitis	323	unspecified	unspecified		unspecified	unspecified	present
ankylosing-spondylitis	617	unspecified	unspecified		unspecified	unspecified	present
ankylosing-spondylitis	636	unspecified	unspecified		unspecified	unspecified	present
ankylosing-spondylitis	650	unspecified	unspecified		unspecified	unspecified	present
antiphospholipid-syndrome	75	unspecified	unspecified		unspecified	unspecified	present
antiphospholipid-syndrome	173	unspecified	unspecified		unspecified	unspecified	present
antiphospholipid-syndrome	470	unspecified	unspecified		unspecified	unspecified	present
antiphospholipid-syndrome	475	unspecified	unspecified		unspecified	unspecified	present
antiphospholipid-syndrome	479	unspecified	unspecified		unspecified	unspecified	present
antiphospholipid-syndrome	616	unspecified	unspecified		unspecified	unspecified	present
antiphospholipid-syndrome	638	unspecified	unspecified		unspecified	unspecified	present
antiphospholipid-syndrome	655	unspecified	unspecified		unspecified	unspecified	present
antiphospholipid-syndrome	743	unspecified	unspecified		unspecified	unspecified	present
antiphospholipid-syndrome	828	unspecified	unspecified		unspecified	unspecified	present
antiphospholipid-syndrome	928	unspecified	unspecified		unspecified	unspecified	present
antiphospholipid-syndrome	939	unspecified	unspecified		unspecified	unspecified	present
antiphospholipid-syndrome	948	unspecified	unspecified		unspecified	unspecified	present
antiphospholipid-syndrome	961	unspecified	unspecified		unspecified	unspecified	present
antiphospholipid-syndrome	1025	unspecified	unspecified		unspecified	unspecified	present
antiphospholipid-syndrome	1026	unspecified	unspecified		unspecified	unspecified	present
aphasia	213	unspecified	unspecified		unspecified	unspecified	present
aphasia	230	unspecified	unspecified		unspecified	unspecified	present
aphasia	231	unspecified	unspecified		unspecified	unspecified	present
aphasia	234	unspecified	unspecified		unspecified	unspecified	present
aphasia	525	unspecified	unspecified		unspecified	unspecified	present
aphasia	723	unspecified	unspecified		unspecified	unspecified	present
appendicitis	128	unspecified	unspecified		unspecified	unspecified	present
appendicitis	165	seconds_to_minutes	unspecified		unspecified	unspecified	present
appendicitis	228	unspecified	unspecified		unspecified	unspecified	present
appendicitis	417	unspecified	unspecified		unspecified	unspecified	present
appendicitis	431	unspecified	unspecified		unspecified	unspecified	present
appendicitis	432	unspecified	unspecified		unspecified	unspecified	present
appendicitis	585	unspecified	unspecified		unspecified	unspecified	present
appendicitis	613	unspecified	unspecified		unspecified	worsening	present
appendicitis	614	unspecified	unspecified		unspecified	unspecified	present
appendicitis	1053	unspecified	unspecified		unspecified	unspecified	present
arrhythmia	318	unspecified	unspecified		unspecified	unspecified	present
arrhythmia	496	unspecified	unspecified		unspecified	unspecified	present
arrhythmia	621	unspecified	unspecified		unspecified	unspecified	present
arrhythmia	675	unspecified	unspecified		unspecified	unspecified	present
arrhythmia	676	unspecified	unspecified		unspecified	unspecified	present
arthritis	228	unspecified	unspecified		unspecified	unspecified	present
arthritis	617	unspecified	unspecified		unspecified	unspecified	present
arthritis	636	unspecified	unspecified		unspecified	unspecified	present
arthritis	908	unspecified	unspecified		unspecified	unspecified	present
asbestosis	146	unspecified	unspecified		unspecified	unspecified	present
asbestosis	171	unspecified	unspecified		unspecified	unspecified	present
asbestosis	323	unspecified	unspecified		unspecified	unspecified	present
asbestosis	621	unspecified	unspecified		unspecified	unspecified	present
aspergillosis	171	unspecified	unspecified		unspecified	unspecified	present
aspergillosis	323	unspecified	unspecified		unspecified	unspecified	present
aspergillosis	417	unspecified	unspecified		unspecified	unspecified	present
aspergillosis	585	unspecified	unspecified		unspecified	unspecified	present
aspergillosis	1020	unspecified	unspecified		unspecified	unspecified	present
asthma	621	unspecified	unspecified		unspecified	unspecified	present
asthma	722	unspecified	unspecified		unspecified	unspecified	present
astigmatism	84	unspecified	unspecified		unspecified	unspecified	present
astigmatism	915	unspecified	unspecified		unspecified	unspecified	present
ataxia	24	unspecified	unspecified		unspecified	unspecified	present
ataxia	179	unspecified	unspecified		unspecified	unspecified	present
ataxia	190	unspecified	unspecified		unspecified	unspecified	present
ataxia	213	unspecified	unspecified		unspecified	unspecified	present
ataxia	233	unspecified	unspecified		unspecified	unspecified	present
ataxia	241	unspecified	unspecified		unspecified	unspecified	present
ataxia	506	unspecified	unspecified		unspecified	unspecified	present
ataxia	507	unspecified	unspecified		unspecified	unspecified	present
ataxia	531	unspecified	unspecified		unspecified	unspecified	present
ataxia	550	unspecified	unspecified		unspecified	unspecified	present
ataxia	554	unspecified	unspecified		unspecified	unspecified	present
ataxia	588	unspecified	unspecified		unspecified	unspecified	present
ataxia	721	unspecified	unspecified		unspecified	unspecified	present
ataxia	746	unspecified	unspecified		unspecified	unspecified	present
ataxia	855	unspecified	unspecified		unspecified	unspecified	present
ataxia	884	unspecified	unspecified		unspecified	unspecified	present
ataxia	909	unspecified	unspecified		unspecified	unspecified	present
ataxia	997	unspecified	unspecified		unspecified	unspecified	present
ataxia	1034	unspecified	unspecified		unspecified	unspecified	present
ataxia	1043	unspecified	unspecified		unspecified	unspecified	present
athletes-foot	66	unspecified	unspecified		unspecified	unspecified	present
athletes-foot	680	unspecified	unspecified		unspecified	unspecified	present
athletes-foot	762	unspecified	unspecified		unspecified	unspecified	present
athletes-foot	831	unspecified	unspecified		unspecified	unspecified	present
atopic-eczema	52	unspecified	unspecified		unspecified	unspecified	present
atopic-eczema	65	unspecified	unspecified		unspecified	unspecified	present
atopic-eczema	417	unspecified	unspecified		unspecified	unspecified	present
atopic-eczema	435	unspecified	unspecified		unspecified	unspecified	present
atopic-eczema	497	unspecified	unspecified		unspecified	unspecified	present
atopic-eczema	819	unspecified	unspecified		unspecified	unspecified	present
atopic-eczema	828	unspecified	unspecified		unspecified	unspecified	present
atrial-fibrillation	221	unspecified	unspecified		unspecified	unspecified	present
atrial-fibrillation	260	unspecified	unspecified		unspecified	unspecified	present
atrial-fibrillation	323	unspecified	unspecified		unspecified	unspecified	present
atrial-fibrillation	408	unspecified	unspecified		unspecified	unspecified	present
atrial-fibrillation	621	unspecified	unspecified		unspecified	unspecified	present
atrial-fibrillation	676	unspecified	unspecified		unspecified	unspecified	present
auditory-processing-disorder	224	unspecified	unspecified		unspecified	unspecified	present
autism	18	unspecified	unspecified		unspecified	unspecified	present
autism	19	unspecified	unspecified		unspecified	unspecified	absent
autism	20	unspecified	unspecified		unspecified	unspecified	present
autism	34	unspecified	unspecified		unspecified	unspecified	present
autism	44	unspecified	unspecified		unspecified	unspecified	absent
autism	161	unspecified	unspecified		unspecified	unspecified	absent
autism	170	unspecified	unspecified		unspecified	unspecified	absent
autism	189	unspecified	unspecified		unspecified	unspecified	absent
autism	259	unspecified	unspecified		unspecified	unspecified	present
autism	290	unspecified	unspecified		unspecified	unspecified	present
autism	291	unspecified	unspecified		unspecified	unspecified	present
autism	302	unspecified	unspecified		unspecified	unspecified	absent
autism	313	unspecified	unspecified		unspecified	unspecified	absent
autism	332	unspecified	unspecified		unspecified	unspecified	absent
autism	355	unspecified	unspecified		unspecified	unspecified	present
autism	367	unspecified	unspecified		unspecified	unspecified	absent
autism	543	unspecified	unspecified		unspecified	unspecified	present
autism	719	unspecified	unspecified		unspecified	unspecified	absent
autism	776	unspecified	unspecified		unspecified	unspecified	absent
autism	800	unspecified	unspecified		unspecified	unspecified	present
autism	863	unspecified	unspecified		unspecified	unspecified	present
autism	885	unspecified	unspecified		unspecified	unspecified	absent
autism	886	unspecified	unspecified		unspecified	unspecified	absent
autism	1050	unspecified	unspecified		unspecified	unspecified	absent
autosomal-dominant-polycystic-kidney-disease-adpkd	29	unspecified	unspecified		unspecified	unspecified	present
autosomal-dominant-polycystic-kidney-disease-adpkd	54	unspecified	unspecified		unspecified	unspecified	present
autosomal-dominant-polycystic-kidney-disease-adpkd	79	unspecified	unspecified		unspecified	unspecified	present
autosomal-dominant-polycystic-kidney-disease-adpkd	85	unspecified	unspecified		unspecified	unspecified	present
autosomal-dominant-polycystic-kidney-disease-adpkd	164	unspecified	unspecified		unspecified	unspecified	present
autosomal-dominant-polycystic-kidney-disease-adpkd	193	unspecified	unspecified		severe	unspecified	present
autosomal-dominant-polycystic-kidney-disease-adpkd	293	unspecified	unspecified		unspecified	unspecified	present
autosomal-dominant-polycystic-kidney-disease-adpkd	323	unspecified	unspecified		unspecified	unspecified	present
autosomal-dominant-polycystic-kidney-disease-adpkd	366	unspecified	unspecified		unspecified	unspecified	present
autosomal-dominant-polycystic-kidney-disease-adpkd	400	unspecified	unspecified		severe	unspecified	present
autosomal-dominant-polycystic-kidney-disease-adpkd	417	unspecified	unspecified		unspecified	unspecified	present
autosomal-dominant-polycystic-kidney-disease-adpkd	424	unspecified	unspecified		unspecified	unspecified	present
autosomal-dominant-polycystic-kidney-disease-adpkd	431	unspecified	unspecified		unspecified	unspecified	present
autosomal-dominant-polycystic-kidney-disease-adpkd	432	unspecified	unspecified		unspecified	unspecified	present
autosomal-dominant-polycystic-kidney-disease-adpkd	459	unspecified	unspecified		unspecified	unspecified	present
autosomal-dominant-polycystic-kidney-disease-adpkd	478	unspecified	unspecified		unspecified	unspecified	absent
autosomal-dominant-polycystic-kidney-disease-adpkd	585	unspecified	unspecified		unspecified	unspecified	present
autosomal-dominant-polycystic-kidney-disease-adpkd	625	unspecified	unspecified		unspecified	unspecified	present
autosomal-dominant-polycystic-kidney-disease-adpkd	665	unspecified	unspecified		unspecified	unspecified	present
autosomal-dominant-polycystic-kidney-disease-adpkd	693	unspecified	unspecified		unspecified	unspecified	absent
autosomal-dominant-polycystic-kidney-disease-adpkd	780	unspecified	unspecified		unspecified	unspecified	present
autosomal-dominant-polycystic-kidney-disease-adpkd	861	unspecified	unspecified		unspecified	unspecified	present
autosomal-dominant-polycystic-kidney-disease-adpkd	953	unspecified	unspecified		unspecified	unspecified	present
autosomal-dominant-polycystic-kidney-disease-adpkd	1037	unspecified	unspecified		unspecified	unspecified	present
autosomal-dominant-polycystic-kidney-disease-adpkd	1045	unspecified	unspecified		unspecified	unspecified	present
autosomal-dominant-polycystic-kidney-disease-adpkd	1053	unspecified	unspecified		unspecified	unspecified	present
autosomal-recessive-polycystic-kidney-disease-arpkd	29	unspecified	unspecified		unspecified	unspecified	present
autosomal-recessive-polycystic-kidney-disease-arpkd	98	unspecified	unspecified		unspecified	unspecified	present
autosomal-recessive-polycystic-kidney-disease-arpkd	275	unspecified	unspecified		unspecified	unspecified	present
autosomal-recessive-polycystic-kidney-disease-arpkd	277	unspecified	unspecified		unspecified	unspecified	present
autosomal-recessive-polycystic-kidney-disease-arpkd	323	unspecified	unspecified		unspecified	unspecified	present
autosomal-recessive-polycystic-kidney-disease-arpkd	366	unspecified	unspecified		unspecified	unspecified	present
autosomal-recessive-polycystic-kidney-disease-arpkd	431	unspecified	unspecified		unspecified	unspecified	present
autosomal-recessive-polycystic-kidney-disease-arpkd	459	unspecified	unspecified		unspecified	unspecified	present
autosomal-recessive-polycystic-kidney-disease-arpkd	585	unspecified	unspecified		unspecified	unspecified	present
autosomal-recessive-polycystic-kidney-disease-arpkd	922	unspecified	unspecified		unspecified	unspecified	present
autosomal-recessive-polycystic-kidney-disease-arpkd	948	unspecified	unspecified		unspecified	unspecified	present
autosomal-recessive-polycystic-kidney-disease-arpkd	953	unspecified	unspecified		unspecified	unspecified	present
bacterial-vaginosis	1039	unspecified	unspecified		unspecified	unspecified	present
balanitis	57	unspecified	unspecified		unspecified	unspecified	present
balanitis	665	unspecified	unspecified		unspecified	unspecified	present
balanitis	687	unspecified	unspecified		unspecified	unspecified	present
balanitis	691	unspecified	unspecified		unspecified	unspecified	present
balanitis	762	unspecified	unspecified		unspecified	unspecified	present
balanitis	991	unspecified	unspecified		unspecified	unspecified	present
balanitis	1021	unspecified	unspecified		unspecified	unspecified	present
balanitis	1039	unspecified	unspecified		unspecified	unspecified	present
bells-palsy	277	unspecified	unspecified		unspecified	unspecified	present
bells-palsy	304	unspecified	unspecified		unspecified	unspecified	present
bells-palsy	316	unspecified	unspecified		unspecified	unspecified	present
bile-duct-cancer	29	unspecified	unspecified		unspecified	unspecified	present
bile-duct-cancer	196	unspecified	unspecified		unspecified	unspecified	present
bile-duct-cancer	323	unspecified	unspecified		unspecified	unspecified	present
bile-duct-cancer	371	unspecified	unspecified		unspecified	unspecified	present
bile-duct-cancer	417	unspecified	unspecified		unspecified	unspecified	present
bile-duct-cancer	459	unspecified	unspecified		unspecified	unspecified	present
bile-duct-cancer	463	unspecified	unspecified		unspecified	unspecified	present
bile-duct-cancer	585	unspecified	unspecified		unspecified	unspecified	present
bile-duct-cancer	614	unspecified	unspecified		unspecified	unspecified	present
bile-duct-cancer	673	unspecified	unspecified		unspecified	unspecified	present
bile-duct-cancer	1053	unspecified	unspecified		unspecified	unspecified	present
bladder-cancer	79	unspecified	unspecified		unspecified	unspecified	present
bladder-cancer	90	unspecified	unspecified		unspecified	unspecified	present
bladder-cancer	323	unspecified	unspecified		unspecified	unspecified	present
bladder-cancer	431	unspecified	unspecified		unspecified	unspecified	present
bladder-cancer	432	unspecified	unspecified		unspecified	unspecified	present
bladder-cancer	614	unspecified	unspecified		unspecified	unspecified	present
bladder-cancer	665	unspecified	unspecified		unspecified	unspecified	present
bladder-cancer	1020	unspecified	unspecified		unspecified	unspecified	present
bladder-stones	79	unspecified	unspecified		unspecified	unspecified	present
bladder-stones	242	unspecified	unspecified		unspecified	unspecified	present
bladder-stones	614	unspecified	unspecified		unspecified	unspecified	present
bladder-stones	665	unspecified	unspecified		unspecified	unspecified	present
bladder-stones	1036	unspecified	unspecified		unspecified	unspecified	present
blepharitis	185	unspecified	unspecified		unspecified	unspecified	present
blepharitis	339	unspecified	unspecified		unspecified	unspecified	present
blepharitis	381	unspecified	unspecified		unspecified	unspecified	present
blepharitis	449	unspecified	unspecified		unspecified	unspecified	present
blepharitis	761	unspecified	unspecified		unspecified	unspecified	present
blepharitis	865	unspecified	unspecified		unspecified	unspecified	present
blepharitis	1064	unspecified	unspecified		unspecified	unspecified	present
bone-cancer	90	unspecified	unspecified		unspecified	unspecified	present
bone-cancer	202	unspecified	unspecified		unspecified	unspecified	present
bone-cancer	417	unspecified	unspecified		unspecified	unspecified	present
bone-cancer	512	unspecified	unspecified		unspecified	unspecified	present
bone-cancer	552	unspecified	unspecified		unspecified	unspecified	present
bone-cancer	589	unspecified	unspecified		unspecified	unspecified	present
bone-cancer	926	unspecified	unspecified		unspecified	unspecified	present
bone-cancer	1020	unspecified	unspecified		unspecified	unspecified	present
bone-cyst	513	unspecified	unspecified		unspecified	unspecified	present
bone-cyst	600	unspecified	unspecified		unspecified	unspecified	present
bone-cyst	994	unspecified	unspecified		unspecified	unspecified	present
botulism	3	unspecified	unspecified		unspecified	unspecified	present
botulism	85	unspecified	unspecified		unspecified	unspecified	present
botulism	215	unspecified	unspecified		unspecified	unspecified	present
botulism	217	unspecified	unspecified		unspecified	unspecified	present
botulism	241	unspecified	unspecified		unspecified	unspecified	present
botulism	266	unspecified	unspecified		unspecified	unspecified	present
botulism	277	unspecified	unspecified		unspecified	unspecified	present
botulism	349	unspecified	unspecified		unspecified	unspecified	present
botulism	493	unspecified	unspecified		unspecified	unspecified	present
botulism	563	unspecified	unspecified		unspecified	unspecified	present
botulism	572	unspecified	unspecified		unspecified	unspecified	present
botulism	677	unspecified	unspecified		unspecified	unspecified	present
botulism	1045	unspecified	unspecified		unspecified	unspecified	present
