symptom_id	core_phrase	character	concept	site	n_conditions
224	difficulty in the hearing		difficulty	hearing	1
225	difficulty in the leg		difficulty	leg	1
226	difficulty in the lips		difficulty	lips	1
227	difficulty in the mouth		difficulty	mouth	1
228	difficulty in the movement		difficulty	movement	3
229	difficulty in the numbers		difficulty	numbers	1
230	difficulty in the reading		difficulty	reading	1
231	difficulty in the speech		difficulty	speech	2
232	difficulty in the tongue		difficulty	tongue	1
233	difficulty in the walking		difficulty	walking	1
234	difficulty in the writing		difficulty	writing	1
235	difficulty lifting		difficulty lifting		3
236	difficulty moving		difficulty moving		5
237	difficulty moving in the tongue		difficulty moving	tongue	1
238	difficulty moving in the wrist		difficulty moving	wrist	1
239	difficulty planning		difficulty planning		2
240	difficulty straightening in the arm		difficulty straightening	arm	1
241	difficulty swallowing		difficulty swallowing		34
242	difficulty urinating		difficulty urinating		10
243	difficulty walking		difficulty walking		4
244	digestion problems		digestion problems		1
245	disappearance in the fontanelle		disappearance	fontanelle	1
246	discharge in the anal		discharge	anal	1
247	discharge in the ear		discharge	ear	5
248	discharge in the eye		discharge	eye	1
249	discharge in the vaginal		discharge	vaginal	1
250	discharge in the wound		discharge	wound	1
251	discolouration in the hand		discolouration	hand	1
252	discolouration in the skin		discolouration	skin	5
253	discoloured skin in the leg	discoloured	skin	leg	1
254	discoloured skin lesion	discoloured	skin lesion		1
255	discomfort in the vulval		discomfort	vulval	1
256	disorientation		disorientation		5
257	distension in the abdomen		distension	abdomen	1
258	distortion in the line		distortion	line	1
259	distress		distress		2
260	dizziness		dizziness		21
261	double vision		double vision		3
262	drainage		drainage		1
263	drip in the nose		drip	nose	1
264	drooling		drooling		2
265	drooling in the unspecified		drooling	unspecified	1
266	drooping eyelid		drooping eyelid		2
267	drooping in the face		drooping	face	2
268	droopy eyelid		droopy eyelid		2
269	drowsiness		drowsiness		5
270	drowsiness in the head		drowsiness	head	3
271	dry dry skin in the skin	dry	dry skin	skin	3
272	dry eyes		dry eyes		4
273	dry eyes in the eyes		dry eyes	eyes	1
274	dry flake in the skin	dry	flake	skin	1
275	dry lips		dry lips		2
276	dry lips in the lips	dry	lips	lips	1
277	dry mouth		dry mouth		7
278	dry mouth in the mouth	dry	mouth	mouth	1
279	dry scalp in the scalp	dry	scalp	scalp	1
280	dry skin		dry skin		4
281	dry skin in the skin	dry	skin	skin	1
282	dry throat in the throat		dry throat	throat	1
283	dry tongue in the tongue	dry	tongue	tongue	1
284	dryness in the vagina		dryness	vagina	2
285	ear infections		ear infections		1
286	ear pressure in the ear		ear pressure	ear	3
287	earache		earache		7
288	earwax		earwax		1
289	easy bruising in the skin	easy	bruising	skin	1
290	eating habit		eating habit		1
291	echolalia		echolalia		1
292	enlargement in the clitoris		enlargement	clitoris	1
293	erectile dysfunction		erectile dysfunction		8
294	erection problem		erection problem		1
295	excessive crying	excessive	crying		1
296	excessive hair growth in the skin	excessive	hair growth	skin	1
297	excessive sleepiness	excessive	sleepiness		1
298	exhaustion		exhaustion		3
299	exposed bone in the wound		exposed bone	wound	1
300	extreme sleepiness in the head	extreme	sleepiness	head	2
301	eye change in the eye		eye change	eye	1
302	eye contact		eye contact		1
303	eye injury		eye injury		1
304	eye irritation		eye irritation		2
305	eye pain in the eye		eye pain	eye	3
306	eye problem in the eye		eye problem	eye	2
307	eye rubbing in the eye		eye rubbing	eye	2
308	eye swelling in the eye		eye swelling	eye	1
309	eyelid drooping		eyelid drooping		1
310	eyelid swelling		eyelid swelling		1
311	face pressure in the face		face pressure	face	3
312	facial drooping		facial drooping		3
313	facial expression		facial expression		1
314	facial pain in the face		facial pain	face	2
315	facial swelling in the face		facial swelling	face	6
316	facial weakness		facial weakness		4
317	faded vision		faded vision		1
318	fainting		fainting		8
319	fainting in the body		fainting	body	1
320	falling		falling		2
321	fast breath	fast	breath		1
322	fast breathing		fast breathing		4
323	fatigue		fatigue		97
324	fatigue in the arm		fatigue	arm	1
325	fatigue in the body		fatigue	body	3
326	fatigue in the head		fatigue	head	1
327	fear		fear		1
328	febrile seizure		febrile seizure		2
329	feeding difficulty		feeding difficulty		1
330	feeding difficulty in the unspecified		feeding difficulty	unspecified	1
331	feeding in the mouth		feeding	mouth	1
332	feeling		feeling		1
333	feeling irritable		feeling irritable		1
334	fever		fever		11
335	fidgety movements		fidgety movements		1
336	filler		filler		1
337	firm skin	firm	skin		1
338	fist clenching		fist clenching		1
339	flakes in the eyelashes		flakes	eyelashes	1
340	flaking skin		flaking skin		1
341	flaky skin in the skin		flaky skin	skin	1
342	flashes		flashes		2
343	flashing lights in the vision		flashing lights	vision	1
344	flat feet in the foot	flat	feet	foot	1
345	flatulence		flatulence		4
346	floaters		floaters		2
347	floppiness		floppiness		1
348	floppiness in the muscle		floppiness	muscle	2
349	floppy body		floppy body		2
350	flu		flu		25
351	fluid blister	fluid	blister		1
352	fluid leakage		fluid leakage		1
353	fluid leakage in the skin		fluid leakage	skin	1
354	flushing in the face		flushing	face	3
355	focus		focus		1
356	folds in the skin		folds	skin	1
357	foot drop in the foot		foot drop	foot	1
358	forehead scale in the forehead		forehead scale	forehead	1
359	fragile bone in the bone		fragile bone	bone	2
360	fragile skin in the skin		fragile skin	skin	2
361	freckles in the armpits		freckles	armpits	1
362	freckles in the groin		freckles	groin	1
363	frequent falls		frequent falls		1
364	frequent illness		frequent illness		2
365	frequent infection	frequent	infection		1
366	frequent urination		frequent urination		3
367	friend		friend		1
368	frothy urine in the urine		frothy urine	urine	2
369	frustration		frustration		1
370	fullness in the anus		fullness	anus	1
371	general malaise		general malaise		12
372	genital pain in the genital		genital pain	genital	2
373	grating sound in the bone		grating sound	bone	1
374	greasy hair		greasy hair		1
375	greasy scale in the face		greasy scale	face	1
376	greasy scale in the scalp		greasy scale	scalp	1
377	green vomit	green	vomit		1
378	grey hair	grey	hair		1
379	grinding noise in the jaw		grinding noise	jaw	1
380	grip weakness		grip weakness		1
381	gritty eyes		gritty eyes		2
382	growth		growth		2
383	growth in the skin		growth	skin	1
384	growth restriction		growth restriction		1
385	growths in the skin		growths	skin	1
386	gut symptoms		gut symptoms		1
387	hair		hair		2
388	hair change in the hair		hair change	hair	1
389	hair in the pubic		hair	pubic	1
390	hair in the underarm		hair	underarm	1
391	hair loss		hair loss		4
392	hair loss in the leg		hair loss	leg	1
393	hallucinations		hallucinations		7
394	halos		halos		2
395	hand pain in the hand		hand pain	hand	2
396	hard skin	hard	skin		1
397	hardened skin in the skin		hardened skin	skin	2
398	head tilting in the head		head tilting	head	1
399	headache		headache		24
400	headache in the head		headache	head	10
401	headache in the neck		headache	neck	1
402	headache in the temporal		headache	temporal	1
403	headaches		headaches		1
404	hearing loss		hearing loss		12
405	hearing problem		hearing problem		1
406	heart murmur in the heart		heart murmur	heart	3
407	heart tongue	heart	tongue		1
408	heartbeat		heartbeat		9
409	heartburn		heartburn		8
410	heat sensitivity		heat sensitivity		1
411	heavy legs in the legs		heavy legs	legs	1
412	heavy periods		heavy periods		1
413	hesitation		hesitation		1
414	hiccups		hiccups		2
415	high fever	high	fever		1
416	high palate in the arched	high	palate	arched	1
417	high temperature		high temperature		82
418	hives		hives		6
419	hoarse voice		hoarse voice		14
420	hot skin	hot	skin		1
421	hyperalgesia		hyperalgesia		1
422	hyperpigmentation		hyperpigmentation		1
423	hypersomnia		hypersomnia		1
424	hypertension		hypertension		6
425	inability in the leg		inability	leg	1
426	incomplete emptying in the bowel		incomplete emptying	bowel	1
427	incontinence		incontinence		5
428	incontinence in the bowel		incontinence	bowel	2
429	increased crying		increased crying		1
430	increased hunger		increased hunger		2
431	increased thirst	increased	thirst		17
432	increased urination	increased	urination		12
433	indigestion		indigestion		7
434	infection		infection		1
435	infection in the skin		infection	skin	3
436	infertility		infertility		1
437	ingrown hair		ingrown hair		1
438	insomnia		insomnia		14
439	intense pain		intense pain		1
440	irregular periods		irregular periods		8
441	irritability		irritability		8
442	irritability in the body		irritability	body	1
443	irritation		irritation		2
444	irritation in the throat		irritation	throat	2
445	itch in the anus		itch	anus	1
446	itchiness in the skin		itchiness	skin	1
447	itching		itching		2
448	itching in the ear		itching	ear	2
449	itching in the eyes		itching	eyes	2
450	itching in the genital		itching	genital	1
451	itching in the mouth		itching	mouth	1
452	itching in the nose		itching	nose	1
453	itching in the vagina		itching	vagina	2
454	itching in the vulva		itching	vulva	1
455	itchy		itchy		1
456	itchy feeling	itchy	feeling		1
457	itchy itchy skin in the skin	itchy	itchy skin	skin	3
458	itchy legs in the legs		itchy legs	legs	1
459	itchy rash	itchy	rash		13
460	itchy rash in the bumpy	itchy	rash	bumpy	1
461	itchy scalp in the scalp	itchy	scalp	scalp	1
462	itchy skin		itchy skin		9
463	jaundice		jaundice		17
464	jerking movement in the body	jerking	movement	body	2
465	jerky movements		jerky movements		1
466	joint ache		joint ache		25
467	joint crackling		joint crackling		2
468	joint grating		joint grating		2
469	joint hypermobility in the joint		joint hypermobility	joint	2
470	joint pain		joint pain		16
471	joint pain in the joint		joint pain	joint	1
472	joint problems in the joint		joint problems	joint	1
473	joint redness in the joint		joint redness	joint	1
474	joint stiffness in the joint		joint stiffness	joint	1
475	joint swelling		joint swelling		13
476	joint swelling in the joint		joint swelling	joint	1
477	joint warmth in the joint		joint warmth	joint	1
478	kidney function		kidney function		1
479	lacelike rash	lacelike	rash		1
480	lack		lack		1
481	language problems		language problems		1
482	large head		large head		1
483	laughing		laughing		1
484	leaking in the skin		leaking	skin	1
485	leaning		leaning		1
486	leg discomfort in the leg		leg discomfort	leg	1
487	leg dragging		leg dragging		1
488	lesion		lesion		1
489	lesion clustering		lesion clustering		1
490	lesions in the face		lesions	face	1
491	lesions in the legs		lesions	legs	1
492	less peeing	less	peeing		2
493	lethargy		lethargy		1
494	light-headedness		light-headedness		2
495	light-headedness in the head		light-headedness	head	1
496	lightheadedness		lightheadedness		8
497	limb		limb		1
498	limp		limp		1
499	limp in the child		limp	child	1
500	lines		lines		1
501	loose joint		loose joint		1
502	loose teeth		loose teeth		1
503	loss in the balance		loss	balance	5
504	loss in the brain		loss	brain	1
505	loss in the head		loss	head	1
506	loss in the hearing		loss	hearing	3
507	loss in the sight		loss	sight	3
508	loud snoring	loud	snoring		1
509	low drive in the sex	low	drive	sex	2
510	low mood		low mood		3
511	low temperature		low temperature		1
512	lump		lump		9
513	lump in the arm		lump	arm	1
514	lump in the breast		lump	breast	1
515	lump in the cheek		lump	cheek	1
516	lump in the eyelid		lump	eyelid	1
517	lump in the mouth		lump	mouth	1
518	lump in the neck		lump	neck	3
519	lump in the skin		lump	skin	5
520	lump in the tummy		lump	tummy	2
521	lumps		lumps		2
522	lumps in the anal		lumps	anal	2
523	lumps in the joints		lumps	joints	1
524	lumps in the vagina		lumps	vagina	1
525	making		making		1
526	malaise		malaise		3
527	memory loss		memory loss		4
528	memory problems		memory problems		11
529	mental changes		mental changes		1
530	migraine in the head		migraine	head	1
531	migraines		migraines		1
532	missed period		missed period		1
533	mobility difficulty		mobility difficulty		1
534	mobility problems		mobility problems		2
535	mole		mole		1
536	mole changes		mole changes		1
537	mood changes		mood changes		8
538	mood changes in the head		mood changes	head	3
539	mood swings		mood swings		2
540	mouth breathing in the mouth		mouth breathing	mouth	2
541	mouth burning in the mouth		mouth burning	mouth	1
542	mouth rash in the mouth		mouth rash	mouth	1
543	movement		movement		2
544	movement difficulties		movement difficulties		5
545	movement difficulty in the eye		movement difficulty	eye	1
546	movement difficulty in the eyelid		movement difficulty	eyelid	1
547	movement difficulty in the joint		movement difficulty	joint	1
548	movement difficulty in the tongue		movement difficulty	tongue	1
549	movement in the abdomen		movement	abdomen	1
550	movement in the eye		movement	eye	1
551	movement problem		movement problem		1
552	movement problems		movement problems		2
553	movements		movements		1
554	movements in the eye		movements	eye	2
555	mucus		mucus		1
556	mucus in the poo		mucus	poo	4
557	mucus in the stool		mucus	stool	1
558	mucus in the underwear		mucus	underwear	1
559	muscle ache		muscle ache		25
560	muscle contracture in the muscle		muscle contracture	muscle	1
561	muscle cramping in the muscle		muscle cramping	muscle	1
562	muscle pain in the muscle		muscle pain	muscle	2
563	muscle paralysis		muscle paralysis		2
564	muscle stiffness		muscle stiffness		1
565	muscle stiffness in the muscle		muscle stiffness	muscle	6
566	muscle swelling in the muscle		muscle swelling	muscle	1
567	muscle tingling in the muscle		muscle tingling	muscle	1
568	muscle tremor in the muscle		muscle tremor	muscle	6
569	muscle wasting in the leg		muscle wasting	leg	1
570	muscle wasting in the muscle		muscle wasting	muscle	1
571	muscle weakness		muscle weakness		17
572	muscle weakness in the face		muscle weakness	face	1
573	muscle weakness in the foot		muscle weakness	foot	1
574	muscle weakness in the muscle		muscle weakness	muscle	4
575	nail abnormalities in the nail		nail abnormalities	nail	1
576	nail change in the nail		nail change	nail	1
577	nail changes		nail changes		2
578	nail dents in the nail		nail dents	nail	1
579	nail discoloration in the nail		nail discoloration	nail	1
580	nail pits in the nail		nail pits	nail	1
581	nail pitting in the nail		nail pitting	nail	1
582	nail thickening in the nails		nail thickening	nails	1
583	nails		nails		2
584	nasal congestion in the nose		nasal congestion	nose	5
585	nausea		nausea		83
586	nausea in the stomach		nausea	stomach	1
587	nerve problems		nerve problems		1
588	neuropathy in the peripheral		neuropathy	peripheral	6
589	night sweats		night sweats		7
590	night terrors		night terrors		1
591	nightmares		nightmares		1
592	nipple changes in the nipple		nipple changes	nipple	1
593	nipple discharge in the nipple		nipple discharge	nipple	2
594	nocturia		nocturia		1
595	noise		noise		1
596	noisy breathing		noisy breathing		5
597	non rash in the skin	non	rash	skin	3
598	nosebleeds		nosebleeds		2
599	not peeing		not peeing		1
600	numbness		numbness		7
601	numbness in the arm		numbness	arm	1
602	numbness in the foot		numbness	foot	1
603	numbness in the hand		numbness	hand	2
604	numbness in the leg		numbness	leg	2
605	numbness in the skin		numbness	skin	2
606	nystagmus		nystagmus		1
607	obsessive behaviour		obsessive behaviour		1
608	oedema		oedema		6
609	oily skin		oily skin		1
610	organ problems		organ problems		1
611	organisational difficulties		organisational difficulties		2
612	overwhelmed		overwhelmed		1
613	pain		pain		38
614	pain in the abdomen		pain	abdomen	28
615	pain in the anal		pain	anal	4
616	pain in the arm		pain	arm	4
617	pain in the back		pain	back	13
618	pain in the bottom		pain	bottom	1
619	pain in the bowel		pain	bowel	2
620	pain in the breast		pain	breast	2
621	pain in the chest		pain	chest	25
622	pain in the ear		pain	ear	4
623	pain in the elbow		pain	elbow	1
624	pain in the eye		pain	eye	9
625	pain in the flank		pain	flank	3
626	pain in the foot		pain	foot	2
627	pain in the forearm		pain	forearm	1
628	pain in the genitals		pain	genitals	1
629	pain in the groin		pain	groin	2
630	pain in the hamstring		pain	hamstring	1
631	pain in the hand		pain	hand	1
632	pain in the head		pain	head	1
633	pain in the heel		pain	heel	1
634	pain in the hip		pain	hip	2
635	pain in the jaw		pain	jaw	3
636	pain in the joint		pain	joint	12
637	pain in the knee		pain	knee	1
638	pain in the leg		pain	leg	16
639	pain in the limb		pain	limb	1
640	pain in the liver		pain	liver	1
641	pain in the lower back		pain	lower back	4
642	pain in the mouth		pain	mouth	1
643	pain in the muscle		pain	muscle	4
644	pain in the neck		pain	neck	2
645	pain in the penis		pain	penis	2
646	pain in the shoulder		pain	shoulder	4
647	pain in the skin		pain	skin	1
648	pain in the stomach		pain	stomach	1
649	pain in the temple		pain	temple	1
650	pain in the tendon		pain	tendon	2
651	pain in the testicular		pain	testicular	2
652	pain in the thighs		pain	thighs	1
653	pain in the throat		pain	throat	1
654	pain in the toe		pain	toe	1
655	pain in the tummy		pain	tummy	12
656	pain in the upper tummy		pain	upper tummy	4
657	pain in the vulval		pain	vulval	1
658	pain in the wound		pain	wound	1
659	painful blisters in the face	painful	blisters	face	1
660	painful cold sore	painful	cold sore		1
661	painful erection		painful erection		1
662	painful lumps in the fingers		painful lumps	fingers	1
663	painful skin		painful skin		1
664	painful spot in the skin	painful	spot	skin	1
665	painful urination		painful urination		15
666	painful wrists in the wrist		painful wrists	wrist	1
667	painless lump	painless	lump		1
668	painless swelling	painless	swelling		1
669	pains		pains		1
670	pale in the skin		pale	skin	1
671	pale pallor	pale	pallor		1
672	pale pallor in the face	pale	pallor	face	1
673	pale poo		pale poo		4
674	pale skin		pale skin		3
675	palpitation in the heart		palpitation	heart	1
676	palpitations in the heart		palpitations	heart	14
677	paralysis		paralysis		5
678	parasomnia episodes		parasomnia episodes		1
679	patch in the skin		patch	skin	3
680	patches in the foot		patches	foot	1
681	patches in the mouth		patches	mouth	5
682	patchy hair loss in the scalp	patchy	hair loss	scalp	1
683	pauses		pauses		1
684	peeing problems		peeing problems		1
685	peeling skin in the skin		peeling skin	skin	1
686	pelvic pain in the pelvic		pelvic pain	pelvic	4
687	penile discharge		penile discharge		6
688	penile discharge in the penis		penile discharge	penis	1
689	penile patches in the penile		penile patches	penile	1
690	penile rash in the penile		penile rash	penile	1
691	penile swelling		penile swelling		2
692	period pain		period pain		1
693	periods		periods		2
694	persistent headaches in the head		persistent headaches	head	2
695	personality change		personality change		3
696	personality changes		personality changes		12
697	physical slowness	physical	slowness		1
698	pica		pica		1
699	pink bump in the skin	pink	bump	skin	1
700	pink eye in the eye	pink	eye	eye	1
701	pink hand	pink	hand		1
702	pink patch	pink	patch		1
703	pink patches	pink	patches		1
704	pink phlegm	pink	phlegm		1
705	pink rash	pink	rash		2
706	pink skin	pink	skin		1
707	pink skin in the skin	pink	skin	skin	1
708	pink skin patch in the skin	pink	skin patch	skin	1
709	pink spot in the forehead	pink	spot	forehead	1
710	pink spots	pink	spots		1
711	pointy forehead in the head	pointy	forehead	head	1
712	poor appetite		poor appetite		1
713	poor coordination		poor coordination		1
714	poor feeding in the mouth	poor	feeding	mouth	1
715	poor vision		poor vision		2
716	popping noise in the jaw		popping noise	jaw	1
717	popping sensation		popping sensation		2
718	positioning		positioning		1
719	pretend play		pretend play		1
720	problem in the head		problem	head	1
721	problems in the balance		problems	balance	10
722	problems in the breathing		problems	breathing	2
723	problems in the communication		problems	communication	1
724	prolongation		prolongation		1
725	prolonged feeding in the unspecified		prolonged feeding	unspecified	1
726	psychological problems		psychological problems		1
727	pulling in the ear		pulling	ear	1
728	pulsing feeling in the tummy		pulsing feeling	tummy	1
729	purple discolouration in the feet	purple	discolouration	feet	1
730	purple discolouration in the hands	purple	discolouration	hands	1
731	pus		pus		1
732	pus in the chest		pus	chest	1
733	pus in the eyelash		pus	eyelash	1
734	quietness		quietness		1
735	raised rash in the skin	raised	rash	skin	1
736	raised skin bumps in the skin	raised	skin bumps	skin	1
737	raised skin in the skin		raised skin	skin	1
738	rash		rash		13
739	rash in the scalp		rash	scalp	1
740	rash in the skin		rash	skin	5
741	reaction		reaction		1
742	recession in the gum		recession	gum	1
743	recurrent miscarriage	recurrent	miscarriage		1
744	red blisters	red	blisters		1
745	red cheeks in the cheeks	red	cheeks	cheeks	1
746	red clusters in the vessel	red	clusters	vessel	1
747	red discoloration in the skin	red	discoloration	skin	1
748	red eye		red eye		1
749	red eye in the eye	red	eye	eye	1
750	red eyes in the eye	red	eyes	eye	3
751	red eyes in the eyes		red eyes	eyes	3
752	red face in the face	red	face	face	1
753	red knuckles	red	knuckles		1
754	red lump	red	lump		1
755	red patch in the skin	red	patch	skin	1
756	red rash	red	rash		1
757	red rash in the skin	red	rash	skin	2
758	red redness	red	redness		1
759	red redness in the eye	red	redness	eye	1
760	red redness in the eyelid	red	redness	eyelid	1
761	red redness in the eyes	red	redness	eyes	4
762	red skin	red	skin		12
763	red skin in the skin	red	skin	skin	2
764	red skin patches in the skin	red	skin patches	skin	2
765	red sores	red	sores		1
766	red spots in the skin	red	spots	skin	1
767	redness in the ear		redness	ear	1
768	redness in the eye		redness	eye	3
769	redness in the face		redness	face	3
770	redness in the ulcer		redness	ulcer	1
771	redness in the unspecified		redness	unspecified	1
